session,id,# rel res,# rel exp,# exp not rel,total time
3,3,0,0,5,00:05:40
1,11,0,0,4,00:00:21
7,6,0,0,4,00:01:35
1,9,0,0,3,00:01:57
6,3,0,0,3,00:02:25
8,7,-3,1,2,00:03:57
6,1,0,0,2,00:04:18
5,7,0,0,2,00:00:18
4,11,-1,1,1,00:04:59
9,2,0,0,2,00:02:53
9,6,0,0,2,00:01:54
7,9,-1,0,1,00:01:11
1,8,-2,1,0,00:00:57
3,8,0,0,1,00:02:00
9,1,0,0,1,00:01:20
4,1,-4,0,1,00:05:29
7,13,0,0,1,00:01:38
6,2,0,0,1,00:05:05
4,9,-1,0,1,00:02:34
0,4,-1,0,1,00:00:41
2,4,-1,0,1,00:02:16
6,9,0,0,1,00:01:50
7,14,0,0,1,00:00:09
2,3,-2,0,1,00:01:43
7,12,-1,0,1,00:01:07
1,15,0,0,1,00:00:08
0,5,0,0,1,00:00:25
2,7,0,0,1,00:00:32
3,4,0,0,1,00:00:25
5,2,0,0,1,00:00:33
5,3,0,0,1,00:00:21
6,5,0,0,1,00:00:28
8,2,0,0,1,00:00:42
0,1,-2,0,1,00:01:26
5,4,0,0,1,00:01:07
6,7,0,0,1,00:00:57
2,5,-2,0,1,00:01:22
4,10,0,0,1,00:05:02
5,6,-1,1,0,00:00:51
5,1,-4,1,0,00:01:21
7,1,-2,0,1,00:01:18
2,1,-2,0,1,00:02:05
9,5,0,0,1,00:00:23
2,2,0,0,1,00:00:29
2,6,0,0,1,00:00:26
2,8,0,0,1,00:01:04
5,5,0,0,1,00:00:34
7,4,0,0,1,00:00:56
7,10,0,0,1,00:00:31
7,3,0,0,0,00:00:40
4,5,0,0,0,00:01:05
9,3,0,0,0,00:00:01
6,4,0,0,0,00:00:26
1,7,-2,0,0,00:00:56
1,5,-4,0,0,00:00:24
1,4,-4,0,0,00:00:23
8,3,0,0,0,00:01:17
3,1,0,0,0,00:00:56
9,9,0,0,0,00:00:03
4,4,-5,0,0,00:02:02
4,12,-2,0,0,00:00:46
0,2,0,0,0,00:00:21
4,8,-1,0,0,00:00:38
7,2,-2,0,0,00:00:39
6,8,0,0,0,00:00:46
7,7,-1,0,0,00:00:49
7,11,0,0,0,00:00:43
1,6,0,0,0,00:00:26
1,10,0,0,0,00:00:17
1,12,0,0,0,00:01:08
1,13,0,0,0,00:01:36
1,16,0,0,0,00:00:01
0,3,0,0,0,00:00:04
0,6,0,0,0,00:00:03
0,7,0,0,0,00:00:05
3,2,0,0,0,00:00:19
3,5,0,0,0,00:00:12
3,6,0,0,0,00:00:08
3,7,0,0,0,00:01:44
4,2,0,0,0,00:00:20
4,3,0,0,0,00:00:12
4,6,0,0,0,00:00:46
4,7,0,0,0,00:00:05
6,6,0,0,0,00:00:23
7,5,0,0,0,00:00:06
7,8,0,0,0,00:00:33
8,1,0,0,0,00:00:27
8,4,0,0,0,00:00:09
8,5,0,0,0,00:00:05
8,6,0,0,0,00:00:05
8,8,0,0,0,00:00:01
8,9,0,0,0,00:00:04
8,10,0,0,0,00:00:03
9,4,0,0,0,00:00:17
9,7,0,0,0,00:00:24
9,8,0,0,0,00:00:05
