session,id,# exp,# res not exp,total time
4,1,1,4770,00:05:29
1,5,0,4770,00:00:24
1,4,0,4152,00:00:23
2,3,1,2926,00:01:43
4,4,0,2584,00:02:02
5,1,1,1266,00:01:21
7,2,0,1265,00:00:39
7,1,1,1252,00:01:18
2,1,1,1232,00:02:05
3,8,1,764,00:02:00
1,7,0,527,00:00:56
4,9,1,430,00:02:34
3,1,0,353,00:00:56
7,12,1,265,00:01:07
4,12,0,228,00:00:46
0,1,1,193,00:01:26
8,7,3,149,00:03:57
7,6,4,105,00:01:35
1,8,1,77,00:00:57
6,4,0,70,00:00:26
9,1,1,65,00:01:20
7,13,1,46,00:01:38
6,2,1,45,00:05:05
6,3,3,38,00:02:25
9,2,2,17,00:02:53
5,4,1,17,00:01:07
4,8,0,17,00:00:38
6,7,1,14,00:00:57
4,10,1,13,00:05:02
2,5,1,13,00:01:22
5,6,1,13,00:00:51
6,8,0,12,00:00:46
9,6,2,11,00:01:54
9,5,1,11,00:00:23
4,5,0,9,00:01:05
9,3,0,9,00:00:01
7,9,1,8,00:01:11
3,3,5,5,00:05:40
1,11,4,4,00:00:21
1,9,3,4,00:01:57
6,1,2,4,00:04:18
2,4,1,4,00:02:16
6,9,1,4,00:01:50
0,4,1,4,00:00:41
8,3,0,4,00:01:17
5,7,2,3,00:00:18
7,14,1,3,00:00:09
9,9,0,3,00:00:03
4,11,2,2,00:04:59
8,2,1,2,00:00:42
5,2,1,2,00:00:33
2,7,1,2,00:00:32
6,5,1,2,00:00:28
0,5,1,2,00:00:25
3,4,1,2,00:00:25
5,3,1,2,00:00:21
1,15,1,2,00:00:08
0,2,0,2,00:00:21
2,8,1,1,00:01:04
7,4,1,1,00:00:56
5,5,1,1,00:00:34
7,10,1,1,00:00:31
2,2,1,1,00:00:29
2,6,1,1,00:00:26
7,7,0,1,00:00:49
7,11,0,1,00:00:43
3,7,0,0,00:01:44
1,13,0,0,00:01:36
1,12,0,0,00:01:08
4,6,0,0,00:00:46
7,3,0,0,00:00:40
7,8,0,0,00:00:33
8,1,0,0,00:00:27
1,6,0,0,00:00:26
9,7,0,0,00:00:24
6,6,0,0,00:00:23
4,2,0,0,00:00:20
3,2,0,0,00:00:19
1,10,0,0,00:00:17
9,4,0,0,00:00:17
3,5,0,0,00:00:12
4,3,0,0,00:00:12
8,4,0,0,00:00:09
3,6,0,0,00:00:08
7,5,0,0,00:00:06
0,7,0,0,00:00:05
4,7,0,0,00:00:05
8,5,0,0,00:00:05
8,6,0,0,00:00:05
9,8,0,0,00:00:05
0,3,0,0,00:00:04
8,9,0,0,00:00:04
0,6,0,0,00:00:03
8,10,0,0,00:00:03
1,16,0,0,00:00:01
8,8,0,0,00:00:01
