session,id,normalized results,normalized results exp,normalized results rel,normalized rel results exp,total time
4,1,100.0,8.18325518086,19.0009301121,0.0,00:05:29
1,5,100.0,0.0,19.0009301121,0.0,00:00:24
1,4,98.3622211921,0.0,19.0009301121,0.0,00:00:23
2,3,94.2318775902,8.18325518086,12.9701525955,0.0,00:01:43
4,4,92.7649598261,0.0,21.1534077763,0.0,00:02:02
2,1,84.0253130077,8.18325518086,12.9701525955,0.0,00:02:05
5,1,84.3464544215,8.18325518086,19.0009301121,8.18325518086,00:01:21
7,1,84.2152759423,8.18325518086,12.9701525955,0.0,00:01:18
7,2,84.3371327142,0.0,12.9701525955,0.0,00:00:39
3,8,78.3899867752,8.18325518086,0.0,0.0,00:02:00
1,7,74.0125850349,0.0,12.9701525955,0.0,00:00:56
4,9,71.616118262,8.18325518086,8.18325518086,0.0,00:02:34
3,1,69.2925769872,0.0,0.0,0.0,00:00:56
7,12,65.9184317236,8.18325518086,8.18325518086,0.0,00:01:07
4,12,64.1502050127,0.0,12.9701525955,0.0,00:00:46
0,1,62.1920261399,8.18325518086,12.9701525955,0.0,00:01:26
8,7,59.1552680005,16.3665103617,16.3665103617,8.18325518086,00:03:57
7,6,55.0562899162,19.0009301121,0.0,0.0,00:01:35
1,8,51.4350502713,8.18325518086,12.9701525955,8.18325518086,00:00:57
6,4,50.3249499766,0.0,0.0,0.0,00:00:26
9,1,49.4628194924,8.18325518086,0.0,0.0,00:01:20
6,2,45.2007169937,8.18325518086,0.0,0.0,00:05:05
7,13,45.454617998,8.18325518086,0.0,0.0,00:01:38
6,3,43.2517950904,16.3665103617,0.0,0.0,00:02:25
9,2,34.1235603718,12.9701525955,0.0,0.0,00:02:53
5,4,34.1235603718,8.18325518086,0.0,0.0,00:01:07
4,8,34.1235603718,0.0,8.18325518086,0.0,00:00:38
2,5,31.1565568913,8.18325518086,12.9701525955,0.0,00:01:22
5,6,31.1565568913,8.18325518086,8.18325518086,8.18325518086,00:00:51
6,7,31.9710827075,8.18325518086,0.0,0.0,00:00:57
4,10,31.1565568913,8.18325518086,0.0,0.0,00:05:02
6,8,30.2816424949,0.0,0.0,0.0,00:00:46
9,5,29.3366629572,8.18325518086,0.0,0.0,00:00:23
9,6,29.3366629572,12.9701525955,0.0,0.0,00:01:54
9,3,27.1841852929,0.0,0.0,0.0,00:00:01
4,5,27.1841852929,0.0,0.0,0.0,00:01:05
7,9,25.940305191,8.18325518086,8.18325518086,0.0,00:01:11
3,3,21.1534077763,21.1534077763,0.0,0.0,00:05:40
6,1,19.0009301121,12.9701525955,0.0,0.0,00:04:18
8,3,19.0009301121,0.0,0.0,0.0,00:01:17
0,4,19.0009301121,8.18325518086,8.18325518086,0.0,00:00:41
2,4,19.0009301121,8.18325518086,8.18325518086,0.0,00:02:16
1,9,19.0009301121,16.3665103617,0.0,0.0,00:01:57
6,9,19.0009301121,8.18325518086,0.0,0.0,00:01:50
1,11,19.0009301121,19.0009301121,0.0,0.0,00:00:21
5,7,16.3665103617,12.9701525955,0.0,0.0,00:00:18
9,9,16.3665103617,0.0,0.0,0.0,00:00:03
7,14,16.3665103617,8.18325518086,0.0,0.0,00:00:09
0,2,12.9701525955,0.0,0.0,0.0,00:00:21
5,2,12.9701525955,8.18325518086,0.0,0.0,00:00:33
8,2,12.9701525955,8.18325518086,0.0,0.0,00:00:42
5,3,12.9701525955,8.18325518086,0.0,0.0,00:00:21
3,4,12.9701525955,8.18325518086,0.0,0.0,00:00:25
0,5,12.9701525955,8.18325518086,0.0,0.0,00:00:25
6,5,12.9701525955,8.18325518086,0.0,0.0,00:00:28
2,7,12.9701525955,8.18325518086,0.0,0.0,00:00:32
4,11,12.9701525955,12.9701525955,8.18325518086,8.18325518086,00:04:59
1,15,12.9701525955,8.18325518086,0.0,0.0,00:00:08
2,2,8.18325518086,8.18325518086,0.0,0.0,00:00:29
7,4,8.18325518086,8.18325518086,0.0,0.0,00:00:56
5,5,8.18325518086,8.18325518086,0.0,0.0,00:00:34
2,6,8.18325518086,8.18325518086,0.0,0.0,00:00:26
7,7,8.18325518086,0.0,8.18325518086,0.0,00:00:49
2,8,8.18325518086,8.18325518086,0.0,0.0,00:01:04
7,10,8.18325518086,8.18325518086,0.0,0.0,00:00:31
7,11,8.18325518086,0.0,0.0,0.0,00:00:43
